"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Guting	2.21	8.1	121.529556	25.020608	303444.953	2768164.63	4
??	Songshan	1.82	4.3	121.578611	25.05	308381.9745	2771440.514	4
??	Datong	2.48	10.3	121.5134207	25.06331455	301798.5412	2772888.765	4
??	Taoyuan	2.25	7.1	121.3050053	24.9947107	280788.6456	2765226.36	4
??	Dayuan	1.9	8.8	121.2025147	25.06100357	270431.7556	2772549.774	4
??	Guanyin	2	5.5	121.0828309	25.03556747	258358.544	2769719.669	4
??	Pingzhen	0.44	3.1	121.203986	24.952786	270598.2355	2760563.563	4
??	Longtan	2.49	8.2	121.2164577	24.86400048	271873.2622	2750731.543	4
??	Hukou	3.87	21.2	121.0388689	24.90009696	253926.5933	2754712.78	4
??	Zhudong	2.52	5.3	121.0889549	24.74091408	258997.847	2737084.183	4
??	Hsinchu	2.47	7.5	120.9723675	24.8056356	247206.4037	2744249.997	4
??	Toufen	2.42	5	120.8986929	24.69690679	239749.1152	2732210.903	4
??	Miaoli	2.25	7.7	120.8201147	24.56499183	231778.9513	2717608.589	4
??	Sanyi	1.92	7.8	120.7595675	24.38248443	225610.8072	2697404.393	4
??	Fengyuan	2.09	9.4	120.7425241	24.25699731	223856.2162	2683509.479	4
??	Shalu	1.64	5.9	120.568794	24.225628	206204.9642	2680078.798	4
??	Dali	1.53	5.1	120.6784444	24.09961111	217309.5348	2666092.325	4
??	Zhongming	2.08	6.8	120.641092	24.151958	213526.9718	2671898.973	4
??	Xitun	2.02	7.6	120.616917	24.162197	211073.3337	2673039.462	4
